Id;DataAcesso;Hash;DataExpiracao;Cliente;TipoAcesso;LoginAtendente;TipoSessao;Origem
618;2018-06-27 07:46:51.417;698b7dc715a1a4d40cd90176f7f92e1dc5a342233af6d9b1b4c6bebf7dade27f912facdf272e3fe3663ff222bf8e70ea97164d80647072056c27fa2c6acd5b62;2018-06-27 09:16:51.417;111.111.111-90;1;;;100000016
619;2018-06-27 07:47:17.307;e60b3fce1cd0225da40e549a5724b66c890529c4e1887ee6e2e211650160e3a04af3bcd7e1583434e1edee8d48f95d828c0936ee8466183cc8f05cdef9c1f96c;2018-06-27 09:21:43.437;111.111.111-91;1;;;100000016
620;2018-06-27 07:47:32.580;d7cce3043855fd7b2e916d4909727452f396897fa40574b7beb40e46205934387edd3403cd5042bb3da6a522f3ad2d88e5a7f88edf82476daf95c3323b5d05bd;2018-06-27 09:18:39.523;111.111.111-92;1;;;100000016
621;2018-06-27 07:50:04.147;8902717e29257de12157b34e965aa1e2c39d9bdfdc5376582346d4b2f9b1889e133851b2e5bd0021753c5b46cb9ccc933c5600a3302520c62ed2befed55d3fcb;2018-06-27 09:21:23.063;111.111.111-93;1;;;100000016
622;2018-06-27 07:50:08.440;e6e47f97d6d47dda62eb1cf55f88c69f849bdd9d1c410a6a80c587b52779a2abed5c993ee780b38460a8b55041ba6846b731c3f98cb5967d1ef7426e4a9fa4fb;2018-06-27 10:11:52.340;111.111.111-94;1;;;100000016
623;2018-06-27 07:50:19.553;d3251957780e3c2f8a3e213d2367bdfe3e4c999ceb67fc9346f9ebaefab7e3fad67d04595aa0cd0ce3caa68d63d829feaec47a2556236872d5d848b41114f1d9;2018-06-27 09:20:21.337;111.111.111-95;1;;;100000016
624;2018-06-27 07:52:24.047;293f16d47424d571347418cab06781bf0c40725ff1385f38e1d6bf2d36f16df49444f899ebe8308ad3e132d8899a761a4402cdad0b2575dbaabac3dc39a9610c;2018-06-27 09:40:15.613;111.111.111-96;1;;;100000016
625;2018-06-27 07:53:50.937;b2900235c6f99c283291c9df4fea55a17e52888180395a741084f09691a3169f3129c4886b163637a16af34b5092d41f0ee71b88b99ab12607b2cea597931d5c;2018-06-27 09:23:50.937;111.111.111-97;1;;;100000016
626;2018-06-27 07:55:11.403;01ccab70f62f70d810c9b46e6fe46a07dace54d8bdb112f82047e7a12ec0618f78e62c821e4007fa584dc79c119e54683ce6aa5bb47534db137b374b96a48a0d;2018-06-27 09:26:13.557;111.111.111-98;1;;;100000016
627;2018-06-27 07:56:12.900;8feec6c46c1e361bfa0054f69c8a9e11fa77ee872666b37325d532e0f5ade86a6cd073018f07aa0878db146f9c730b0424f137f9f684a0060b0bfa391971635a;2018-06-27 09:26:12.900;111.111.111-99;1;;;100000016
628;2018-06-27 07:56:28.840;3f6a58a64aa2fd3ec470013b1e941f9842350d2f7d8272c6b5ad1fa955ea38f3f28ae6ef5c01b91c5feae7123807a58f88ba1ede2ddb7fbb6e3b2d6b9533108a;2018-06-27 09:33:38.913;111.111.113-10;1;;;100000016
629;2018-06-27 07:56:55.460;73ae049e5ec5dd97377608b985005b496f99e27d8d2413a87a9275a889e6905fbd7c6f9363ebac77ed9965c167c21cd7456ce3be8c61e30ae53bbf6272197552;2018-06-27 09:26:55.460;111.111.113-11;1;;;100000016
630;2018-06-27 07:57:03.140;4a356bdcd2bb593cdef103f8b056bf4f4f3435cb42d77c739c1458e6a7edc4d69431b8efee642e05e9ebc01d41b297b997e55231162a3e397883933cc2df459b;2018-06-27 09:27:03.140;111.111.113-12;1;;;
631;2018-06-27 07:57:58.043;192db45eecd3d62c01469980c246ba5ce826c3c34f35ac9f90003f5d7839494adfeaaab8791911231f10c7df591aef922cc562e8a5386f5cf3cf994d429f3e2f;2018-06-27 09:27:58.043;111.111.113-13;1;;;
632;2018-06-27 07:58:54.093;b9be485e268bcce024aa9d75170ac60f6f4410a1d7434f7d17af19b560128096933adea96df5fcc71f7b83e2b1734ce1e33ed6e165b1e41d092f2f1409cc67d6;2018-06-27 09:28:54.093;111.111.113-14;1;;;
633;2018-06-27 07:59:36.947;32205bf62989ca711bc627d1adaab4f5637849883f87a48fd67b99bd796337c617a1439fd8aa6cb9d57ea71a4e0abd5ddcab2d9d0945fd171748ebbff184d18e;2018-06-27 09:57:55.067;111.111.113-15;1;;;
634;2018-06-27 08:00:10.787;45a5032bbd7954d142df4e19bb7bf662b90d02fd62e48cc312d4122ec850e0df3078c7a02141e4e1e30ad9925fdbeb6237b56d4c6d8271cd206b20e9bbf7a64e;2018-06-27 09:30:55.170;111.111.113-16;1;;;
635;2018-06-27 08:01:03.763;50cf1eee417627e87aaa9aea059867637611a0dbd8fd1c045e0679b2df3509b1619158381e8817dcef9c934388696b01781db5408476e9652c422aa20d276fc4;2018-06-27 09:35:45.863;111.111.113-17;1;;;
636;2018-06-27 08:01:29.253;8fa4d606d094196a0987a34c74685cc14a03396a8897214dc402ae065b75b632f0c91a83ebf3b18caf98794d6584208b7b57d0989f3af43f2137fc72c01f38d5;2018-06-27 09:33:17.693;111.111.113-18;1;;;
637;2018-06-27 08:01:53.007;5f3c5065a7fa18fd387ecb8d8a01e747889035c2c0157d7ca825aa56d9de275cc002d7cd862394786f8aba6c2f91b74dba4a19a26df51c77085576b61a9077c6;2018-06-27 09:59:01.423;111.111.113-19;1;;;
638;2018-06-27 08:02:26.173;da44213b693b25919801b4055e3756c90f595607499c2f4384a35b5b2a51490995ea5e2ac7f8231ea86ba362d20b10115fbc44ed747417d4fcd04469cbc67659;2018-06-27 09:40:35.920;111.111.113-20;1;;;
639;2018-06-27 08:02:52.577;f52ed53d2b302514d09b2bb0a51c70aec9b8849f75a054507a5ed559d525ad2462e637361ff2ae442495f697dae827be1ef18f40c21b859bdca29d3699d77d79;2018-06-27 09:41:23.540;111.111.113-21;1;;;
640;2018-06-27 08:03:09.010;3c7fce7970204c7b98e1018f4358e466d6053ab4f759424c77b9eb7ab9d5c4bd9297d37dc1feec82d60477808da7f315d5a7cbd3713d2dcefd299e4dbc809a36;2018-06-27 09:36:05.193;111.111.113-22;1;;;
